id,algo,strategy,run_id,start_mode,best_fitness,final_cash,test_final_cash,epoch_count,runtime_ms,early_stopped,best_params,hyperparams
1535,aos,lma,5,random,-818.928633013523,818.928633013523,907.977723746608,51,5785.15337699901,False,"{""short_window"": 20.55397071676685, ""long_window"": 194.94101381644143}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1536,aos,lma,6,random,-817.548559038867,817.548559038867,907.977723746608,51,5830.43078199989,False,"{""short_window"": 20.54926712452424, ""long_window"": 195.54408320705562}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1537,aos,lma,7,random,-775.807310890824,775.807310890824,867.203996776939,51,5812.75860700043,False,"{""short_window"": 19.462481840364873, ""long_window"": 196.23000346426045}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1538,aos,lma,8,random,-796.330213764874,796.330213764874,846.344567989416,51,5820.11175600019,False,"{""short_window"": 20.483679159598697, ""long_window"": 195.0749992259708}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1539,aos,lma,9,random,-818.928633013523,818.928633013523,907.977723746608,51,5819.19977400139,False,"{""short_window"": 21.12152637788416, ""long_window"": 194.59753724932216}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1540,aos,lma,10,random,-817.548559038867,817.548559038867,907.977723746608,51,5805.32901799961,False,"{""short_window"": 20.77519663863479, ""long_window"": 195.67321879276486}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1541,aos,lma,11,random,-818.928633013523,818.928633013523,907.977723746608,51,5816.91671299996,False,"{""short_window"": 20.610820811370143, ""long_window"": 195.28304189784615}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1542,aos,lma,12,random,-818.928633013523,818.928633013523,907.977723746608,51,5778.33460700094,False,"{""short_window"": 21.001411400722777, ""long_window"": 194.97601062849287}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1543,aos,lma,13,random,-800.109005668366,800.109005668366,487.740312063578,51,5773.61912199922,False,"{""short_window"": 34.691712505380764, ""long_window"": 56.087655770255154}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1544,aos,lma,14,random,-802.284901112691,802.284901112691,907.977723746608,51,5789.00023300048,False,"{""short_window"": 19.615961523089858, ""long_window"": 198.35628712852505}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1545,aos,lma,15,random,-817.548559038867,817.548559038867,907.977723746608,51,5795.44787899977,False,"{""short_window"": 21.026158553409825, ""long_window"": 195.67965819106072}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1546,aos,lma,16,random,-818.928633013523,818.928633013523,907.977723746608,51,5787.12661699865,False,"{""short_window"": 21.264687822040347, ""long_window"": 195.3508571233603}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1547,aos,lma,17,random,-818.928633013523,818.928633013523,907.977723746608,51,5798.34370299977,False,"{""short_window"": 20.705384167813385, ""long_window"": 194.63514284133615}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1548,aos,lma,18,random,-818.928633013523,818.928633013523,907.977723746608,51,5798.37407699961,False,"{""short_window"": 21.429012415745948, ""long_window"": 194.73277216213324}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1549,aos,lma,19,random,-818.928633013523,818.928633013523,907.977723746608,51,5823.21624500037,False,"{""short_window"": 20.609818905848822, ""long_window"": 195.36977924566477}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1550,aos,lma,20,random,-800.109005668366,800.109005668366,487.740312063578,51,5764.26938099939,False,"{""short_window"": 35.48875154340574, ""long_window"": 56.22243302698554}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1551,aos,lma,21,random,-818.928633013523,818.928633013523,907.977723746608,51,5817.95232500008,False,"{""short_window"": 20.790871965481323, ""long_window"": 194.59546241308598}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1552,aos,lma,22,random,-818.928633013523,818.928633013523,907.977723746608,51,5790.2049480017,False,"{""short_window"": 20.543500500354767, ""long_window"": 194.73342286162918}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1553,aos,lma,24,random,-802.284901112691,802.284901112691,907.977723746608,51,5775.35899699979,False,"{""short_window"": 20.34458483923357, ""long_window"": 198.32088234222246}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1554,aos,lma,23,random,-818.928633013523,818.928633013523,907.977723746608,51,5810.41864299914,False,"{""short_window"": 21.387377258012478, ""long_window"": 195.43172491300137}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1555,aos,lma,25,random,-800.109005668366,800.109005668366,487.740312063578,51,5785.55814599895,False,"{""short_window"": 35.32132922617621, ""long_window"": 56.07961771512518}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
