,,runtime_ms,runtime_ms,runtime_ms,runtime_ms,runtime_ms,runtime_ms,epoch_count,epoch_count,epoch_count,epoch_count,epoch_count,epoch_count
,,mean,median,std,cv,min,max,mean,median,std,cv,min,max
strategy,algo,,,,,,,,,,,,
ema_independent,abo,6083.349283866603,6078.74993149926,121.3934068047654,0.01995502824845316,5854.142053000032,6334.245649000877,51.0,51.0,0.0,0.0,51,51
ema_independent,aos,7005.736001266753,7008.565424500375,51.06317108468322,0.007288766101869961,6900.4883430006885,7092.156663000424,51.0,51.0,0.0,0.0,51,51
ema_independent,gps,202.45939546669737,198.81575499948667,19.734294031005685,0.09747284874340043,169.3792099995335,286.8258859998605,25.466666666666665,25.0,2.968028874909887,0.11654563644934113,19,32
ema_independent,mrfo,17123.246613866588,17136.751638499845,134.9514762943239,0.007881185112701658,16803.64783299956,17291.6362750002,50.0,50.0,0.0,0.0,50,50
ema_independent,pso,5811.331550099992,5811.3231944998915,78.91827114411187,0.013580066885489253,5695.739538999987,5985.034074001305,51.0,51.0,0.0,0.0,51,51
ema_independent,sos,23468.69135746674,23463.319948999924,113.9844927429686,0.0048568746764272855,23271.50340700064,23776.84665400011,50.0,50.0,0.0,0.0,50,50
ema_shared,abo,6228.684583666715,6246.251397000378,114.80958076310745,0.01843239599323573,6030.84686800139,6426.24515100033,51.0,51.0,0.0,0.0,51,51
ema_shared,aos,5952.023157033243,5956.634967000355,47.29431552430805,0.007945922634461292,5853.033667001,6021.595390000584,51.0,51.0,0.0,0.0,51,51
ema_shared,gps,148.56209233366826,142.83483300005173,19.630481786644275,0.1321365462634607,122.77715100026398,193.54834799923992,22.633333333333333,22.0,3.1236951298690814,0.1380130396112996,18,31
ema_shared,mrfo,17571.360021133234,17564.884120999523,93.3664678727541,0.005313559551478156,17346.668669999417,17774.770215999524,50.0,50.0,0.0,0.0,50,50
ema_shared,pso,5753.693955933401,5751.581746500051,59.70205374746325,0.010376299852705299,5639.005137998538,5866.414210000585,51.0,51.0,0.0,0.0,51,51
ema_shared,sos,23598.617366633334,23596.40692100038,173.0138772666755,0.007331526020304233,23246.03707700044,24039.116893000028,50.0,50.0,0.0,0.0,50,50
lma,abo,6016.66763989991,6023.745948999931,79.49833190867191,0.013213017016508228,5836.935162998998,6214.429567999105,51.0,51.0,0.0,0.0,51,51
lma,aos,5788.475727366616,5791.525934500896,31.260426190387975,0.005400459060853583,5673.533560000578,5830.430781999894,50.96666666666667,51.0,0.18257418583505555,0.003582227321812728,50,51
lma,gps,82.98387053321979,82.54963849958585,3.8080386381987776,0.045888901225381605,76.55884999985574,93.10001299854775,19.8,20.0,2.023994002989616,0.10222191934290993,17,26
lma,mrfo,17270.174520933506,17284.19153950017,158.01521378541196,0.009149601446926886,16999.36108699876,17507.4525910004,50.0,50.0,0.0,0.0,50,50
lma,pso,5541.073611899689,5520.407185999829,88.63164027170187,0.015995391232731856,5400.616319999244,5694.977249999283,50.93333333333333,51.0,0.2537081317024626,0.004981180596252536,50,51
lma,sos,22977.497032566498,22976.998986499893,103.66339150659392,0.004511518002142257,22733.08607800027,23150.067018999835,50.0,50.0,0.0,0.0,50,50
sma,abo,6051.08035789987,6082.381505999365,77.50091413779938,0.012807781347114263,5919.435727000746,6180.49639200035,51.0,51.0,0.0,0.0,51,51
sma,aos,5777.41875736665,5774.19514650046,19.00802732700072,0.003290055321464115,5749.705365999034,5812.967062998723,51.0,51.0,0.0,0.0,51,51
sma,gps,82.41604746690427,81.8591875004131,3.582613309888827,0.04346985107879014,76.35221800046565,96.12414100047316,19.233333333333334,19.0,1.8695995022599294,0.09720621328907776,18,28
sma,mrfo,17187.041538833244,17211.39589249924,49.44316803525602,0.0028767701482272697,17102.68121700028,17254.44430799871,50.0,50.0,0.0,0.0,50,50
sma,pso,5485.194891733408,5487.649189500189,101.95855057139487,0.018587954044268096,5192.0619450011145,5591.647477000151,50.96666666666667,51.0,0.18257418583505675,0.003582227321812728,50,51
sma,sos,22686.291867066695,22666.29323899997,104.12430762387046,0.004589745571202247,22558.794587999728,22879.731152001117,50.0,50.0,0.0,0.0,50,50
weighted,abo,6891.753691700069,6911.926780999238,117.16244283027818,0.017000381625852372,6640.403067000079,7053.329502999986,51.0,51.0,0.0,0.0,51,51
weighted,aos,6909.469424300004,6899.773127500339,48.26711619328148,0.006985647265986866,6827.358272999845,7007.837963999918,51.0,51.0,0.0,0.0,51,51
weighted,gps,771.4707822333366,771.961919500427,130.9664109923539,0.16976198452158905,449.3138139987423,996.6577609993692,33.9,33.0,7.503332592921629,0.2213372446289566,21,48
weighted,mrfo,20055.6912635333,20088.920916499774,423.28376487215763,0.021105418871390554,19396.54554200024,20699.894752000542,50.0,50.0,0.0,0.0,50,50
weighted,pso,6620.614563633414,6605.867875000513,87.726639661476,0.013250528152379147,6464.83439199983,6850.32198800036,51.0,51.0,0.0,0.0,51,51
weighted,sos,24666.803931233517,24614.125105500534,278.25734911005054,0.011280640568019291,24158.290876999672,25172.33256000145,50.0,50.0,0.0,0.0,50,50
